Claim Type,Sentence
Claim of Representation,"Sie kämpfen für sich und ihre Familie, wenn sie die Sozialdemokratie in diesem Ringen unterstützen."
Claim of Representation,Wir vertreten im Umweltschutz das Verursacherprinzip.
Claim of Representation,"Wir wollen Frieden, Freiheit und Sicherheit für Deutschland, Europa und die Welt  Wir kämpfen für ein freies und geeintes Europa, in dem die deutsche Nation ihre Einheit wiedererlangen kann."
Claim of Representation,Wir vertreten weiterhin eine Beschränkung der Rüstungsexporte und unterstützen alle internationalen Bemühungen um die Einschränkung des Waffenhandels.
Claim of Representation,1.5 Wir kämpfen für die Menschenrechte in aller Welt  Wir leben in der Bundesrepublik Deutschland seit mehr als drei Jahrzehnten in Frieden und Freiheit.
Claim of Representation,"O Wir kämpfen für die Verwirklichung des kürzlich von uns vorgelegten ""Beschäftigungshaushalts 1983-1985""."
Claim of Representation,Wir vertreten die Interessen aller Deutschen.
Claim of Representation,Wir kämpfen für das Selbstbestimmungsrecht der Frau und fordern daher die Streichung des x$218.
Claim of Representation,Wir vertreten die Interessen aller Deutschen.
Claim of Representation,Nur wir wollen überall mehr Freiheit und weniger Staat.
Claim of Representation,Wir kämpfen für eine deutliche Stärkung des grünen Gewichts
Claim of Representation,Wir vertreten die Interessen der Menschen heute und die Interessen unseres Landes.
Claim of Representation,"Und wir kämpfen für eine Verkehrspolitik, in der Autofahren ökologischer und Bahnfahren billiger und attraktiver wird."
Claim of Representation,Wir kämpfen für die Einführung der Bürgerversicherung.
Claim of Representation,"Wir kämpfen für die Freiheit der Kultur und der Künste, auch jenseits des Mainstreams."
Claim of Representation,Wir kämpfen für die Geltung des Völkerrechts und wollen handlungsfähige Weltorganisationen.
Claim of Representation,Wir GRÜNE kämpfen für Unabhängigkeit von fossilen Rohstoffen.
Claim of Representation,Wir kämpfen für faire Energiepreise und mehr Wettbewerb auf den Energiemärkten.
Claim of Representation,Wir kämpfen für den wirksamen Schutz von Natur und Artenvielfalt.
Claim of Representation,"Wir kämpfen für eine starke Europäische Union als globale Akteurin,"
Claim of Representation,"Wir vertreten einen umfassenden Bildungsbegriff, der den Menschen in seiner Vielfalt in den Mittelpunkt stellt."
Claim of Representation,"Wir kämpfen für eine inklusive Demokratie, in der alle mitreden und mitmachen können."
Claim of Representation,Wir kämpfen für faire Energiepreise – gegen Preistreiberei durch Monopole und Marktmanipulationen.
Claim of Representation,"Wir wollen den Abzug aller Atomwaffen aus Deutschland und kämpfen für Global Zero, für eine Welt ohne Atomwaffen – deshalb streiten wir auch weiterhin für eine Nuklearwaffenkonvention, um Atomwaffen völkerrechtlich zu ächten."
Claim of Representation,"Wir bringen unterschiedliche Erfahrungen ein: aus den gewerkschaftlichen Kämpfen für gute Arbeit und Sozialstaat, aus feministischen und antirassistischen Bewegungen, aus der Friedensbewegung."
Claim of Representation,Wir kämpfen für die Abschaffung von jeglichen Gebühren im öffentlichen Bildungssystem.
Claim of Representation,Wir kämpfen für eine größere Wertschätzung für die Bildungsberufe.
Claim of Representation,Wir kämpfen für die Einführung eines bedarfsdeckenden Studienhonorars.
Claim of Representation,Wir kämpfen für ein gerechteres Land.
Claim of Representation,Bürger*inneninitiativen und Nicht-Regierungsorganisationen kämpfen für Natur- und Umweltschutz.
Claim of Representation,"Wir kämpfen für eine global nachhaltige Entwicklung,"
